yr,rgCode,rgDesc,rtCode,rtTitle,ptCode,ptTitle,cmdCode,cmdDescE,TradeValue
2017,1,Import,304,Greenland,156,China,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",317
2001,2,Export,710,South Africa,716,Zimbabwe,14,"Vegetable plaiting materials, vegetable products nes",69227
2013,2,Export,196,Cyprus,422,Lebanon,62,Apparel and clothing accessories; not knitted or crocheted,43265
1992,2,Export,842,USA,724,Spain,05,"Products of animal origin, nes",5659561
2004,1,Import,340,Honduras,0,World,79,Zinc and articles thereof,598116
2017,1,Import,704,Viet Nam,300,Greece,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1812863
1997,2,Export,288,Ghana,156,China,26,"Ores, slag and ash",479359
1994,2,Export,251,France,348,Hungary,59,"Impregnated, coated or laminated textile fabric",2385233
2015,2,Export,208,Denmark,48,Bahrain,52,Cotton,2186
2001,1,Import,376,Israel,642,Romania,78,Lead and articles thereof,44000
2010,2,Export,490,"Other Asia, nes",144,Sri Lanka,92,Musical instruments; parts and accessories of such articles,44577
1998,1,Import,858,Uruguay,152,Chile,23,"Residues, wastes of food industry, animal fodder",69580
2017,2,Export,76,Brazil,862,Venezuela,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",14901343
2008,1,Import,288,Ghana,144,Sri Lanka,95,"Toys, games and sports requisites; parts and accessories thereof",15
2000,1,Import,842,USA,818,Egypt,40,Rubber and articles thereof,2757
2011,1,Import,51,Armenia,784,United Arab Emirates,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,21703
2018,1,Import,792,Turkey,428,Latvia,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",2790
2000,2,Export,76,Brazil,410,Rep. of Korea,25,"Salt, sulphur, earth, stone, plaster, lime and cement",4501818
2013,2,Export,97,EU-28,188,Costa Rica,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,10580
2018,2,Export,975,ASEAN,591,Panama,95,"Toys, games and sports requisites; parts and accessories thereof",3212220
2014,2,Export,504,Morocco,124,Canada,34,"Soap, organic surface-active agents",47183
2000,1,Import,56,Belgium,76,Brazil,20,"Vegetable, fruit, nut, etc food preparations",305274426
2014,1,Import,12,Algeria,528,Netherlands,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",270096
2019,2,Export,56,Belgium,780,Trinidad and Tobago,22,"Beverages, spirits and vinegar",218516
2007,1,Import,620,Portugal,788,Tunisia,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",18711
2006,2,Export,392,Japan,40,Austria,20,"Preparations of vegetables, fruit or nuts",26781
2004,2,Export,490,"Other Asia, nes",807,North Macedonia,96,Miscellaneous manufactured articles,17109
2014,2,Export,381,Italy,752,Sweden,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",13164468
2004,1,Import,376,Israel,203,Czechia,87,Vehicles other than railway or tramway rolling stock,47156000
2017,2,Export,246,Finland,784,United Arab Emirates,89,"Ships, boats and floating structures",34599787
1998,1,Import,496,Mongolia,100,Bulgaria,33,"Essential oils, perfumes, cosmetics, toileteries",288459
1989,2,Export,724,Spain,58,Belgium-Luxembourg,84,"Nuclear reactors, boilers, machinery, etc",106818904
2005,2,Export,251,France,804,Ukraine,35,Albuminoidal substances; modified starches; glues; enzymes,6870706
2007,2,Export,428,Latvia,40,Austria,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",922116
2019,2,Export,842,USA,826,United Kingdom,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,942552
2011,1,Import,276,Germany,716,Zimbabwe,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof",13119
