yr,rgCode,rgDesc,rtCode,rtTitle,ptCode,ptTitle,cmdCode,cmdDescE,TradeValue
2011,1,Import,268,Georgia,752,Sweden,34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificialwaxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis o",1772
2009,2,Export,792,Turkey,348,Hungary,67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair,510
1999,2,Export,381,Italy,682,Saudi Arabia,97,"Works of art, collectors pieces and antiques",319925
2005,1,Import,894,Zambia,288,Ghana,42,Articles of leather; saddlery and harness,489
1996,1,Import,40,Austria,736,Fmr Sudan,06,"Live trees, plants, bulbs, roots, cut flowers etc",8023
2015,2,Export,752,Sweden,32,Argentina,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",87286631
2005,1,Import,364,Iran,643,Russian Federation,84,Machinery and mechanical appliances; parts thereof,213231875
2015,2,Export,440,Lithuania,251,France,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",76617
2016,1,Import,670,Saint Vincent and the Grenadines,70,Bosnia Herzegovina,30,Pharmaceutical products,52
2013,1,Import,608,Philippines,591,Panama,85,Electrical machinery and equipment and parts thereof; sound recorders and r ...,51557
1990,2,Export,124,Canada,899,"Areas, nes",04,"Dairy products, eggs, honey, edible animal product nes",1030
2011,2,Export,699,India,703,Slovakia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",255244
2012,2,Export,724,Spain,478,Mauritania,10,Cereals,9000
2005,2,Export,428,Latvia,376,Israel,69,Ceramic products,4647
1992,2,Export,752,Sweden,780,Trinidad and Tobago,32,"Tanning, dyeing extracts, tannins, derivs,pigments et",687
2019,1,Import,300,Greece,764,Thailand,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,25346
2004,1,Import,36,Australia,579,Norway,83,Miscellaneous articles of base metal,1054467
2017,1,Import,398,Kazakhstan,56,Belgium,89,"Ships, boats and floating structures",23822
2017,1,Import,634,Qatar,757,Switzerland,80,Tin; articles thereof,1998
2002,1,Import,231,Ethiopia,152,Chile,87,"Vehicles other than railway, tramway",1145
2013,2,Export,196,Cyprus,276,Germany,73,Iron or steel articles,615
2018,2,Export,52,Barbados,534,Saint Maarten,61,"Articles of apparel and clothing accessories, knitted or crocheted",2770
2012,3,Re-Export,842,USA,348,Hungary,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",4643
2017,1,Import,702,Singapore,51,Armenia,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",813
2003,2,Export,586,Pakistan,484,Mexico,39,Plastics and articles thereof,9997
2009,2,Export,422,Lebanon,144,Sri Lanka,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",7228
2013,1,Import,858,Uruguay,376,Israel,61,Apparel and clothing accessories; knitted or crocheted,1423
2008,2,Export,662,Saint Lucia,308,Grenada,22,"Beverages, spirits and vinegar",1003773
1996,2,Export,251,France,512,Oman,68,"Stone, plaster, cement, asbestos, mica, etc articles",9184
2013,2,Export,620,Portugal,591,Panama,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,76970
2009,1,Import,784,United Arab Emirates,862,Venezuela,62,"Articles of apparel and clothing accessories, not knitted or crocheted",4704
2007,2,Export,818,Egypt,270,Gambia,22,"Beverages, spirits and vinegar",24269
2003,1,Import,528,Netherlands,104,Myanmar,89,"Ships, boats and floating structures",16968
2013,2,Export,975,ASEAN,499,Montenegro,07,Vegetables and certain roots and tubers; edible,380
2018,2,Export,450,Madagascar,174,Comoros,62,Apparel and clothing accessories; not knitted or crocheted,58713
2014,2,Export,504,Morocco,251,France,85,Electrical machinery and equipment and parts thereof; sound recorders and r ...,1169377777
2014,2,Export,251,France,807,North Macedonia,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1372125
1996,2,Export,620,Portugal,381,Italy,59,"Impregnated, coated or laminated textile fabric",1213221
2019,1,Import,208,Denmark,70,Bosnia Herzegovina,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",24483
2017,1,Import,12,Algeria,32,Argentina,20,"Preparations of vegetables, fruit, nuts or other parts of plants",37748
2000,1,Import,218,Ecuador,616,Poland,90,"Optical, photo, technical, medical, etc apparatus",2656
2007,1,Import,643,Russian Federation,703,Slovakia,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",7152
1999,1,Import,442,Luxembourg,504,Morocco,74,Copper and articles thereof,596
2012,1,Import,97,EU-28,566,Nigeria,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",721
2014,2,Export,320,Guatemala,604,Peru,70,Glass and glassware,1449
1995,1,Import,757,Switzerland,804,Ukraine,81,"Other base metals, cermets, articles thereof",2853202
2018,2,Export,376,Israel,36,Australia,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1625000
2009,2,Export,724,Spain,688,Serbia,72,Iron and steel,408384
2012,1,Import,400,Jordan,428,Latvia,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",5255
2007,1,Import,724,Spain,604,Peru,40,Rubber and articles thereof,23167
2013,2,Export,116,Cambodia,899,"Areas, nes",10,Cereals,9263
2015,2,Export,724,Spain,458,Malaysia,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",219254
2006,1,Import,96,Brunei Darussalam,208,Denmark,38,Miscellaneous chemical products,237
2003,1,Import,705,Slovenia,104,Myanmar,90,"Optical, photographic, cinematographic, measuring, checking, precision, med ...",126
2007,1,Import,203,Czechia,694,Sierra Leone,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",15279
2014,2,Export,826,United Kingdom,504,Morocco,40,Rubber and articles thereof,4840964
2013,1,Import,12,Algeria,156,China,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1072223538
1996,1,Import,40,Austria,12,Algeria,85,"Electrical, electronic equipment",9061
2013,2,Export,276,Germany,31,Azerbaijan,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1530157
2014,2,Export,36,Australia,710,South Africa,43,Furskins and artificial fur; manufactures thereof,3490
2015,1,Import,381,Italy,699,India,74,Copper and articles thereof,6825600
2006,1,Import,634,Qatar,422,Lebanon,78,Lead and articles thereof,44689
2000,1,Import,32,Argentina,40,Austria,62,"Articles of apparel, accessories, not knit or crochet",304535
1992,2,Export,484,Mexico,320,Guatemala,10,Cereals,12000
2013,2,Export,344,"China, Hong Kong SAR",496,Mongolia,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",361
2003,2,Export,807,North Macedonia,616,Poland,68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",5707
2015,2,Export,170,Colombia,360,Indonesia,83,Metal; miscellaneous products of base metal,1319
2001,1,Import,490,"Other Asia, nes",462,Maldives,61,"Articles of apparel, accessories, knit or crochet",698
2003,1,Import,616,Poland,620,Portugal,54,Man-made filaments,248000
2010,1,Import,372,Ireland,258,French Polynesia,71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals cladwith precious metal, and articles thereof; imitation jewellery; coin",177
1998,1,Import,156,China,352,Iceland,84,"Nuclear reactors, boilers, machinery, etc",1074
2015,2,Export,528,Netherlands,234,Faeroe Isds,83,Metal; miscellaneous products of base metal,35422
2002,2,Export,384,Côte d'Ivoire,251,France,25,"Salt, sulphur, earth, stone, plaster, lime and cement",2472
2013,2,Export,276,Germany,470,Malta,41,Raw hides and skins (other than furskins) and leather,3013
2006,1,Import,76,Brazil,376,Israel,59,"Impregnated, coated, covered or laminated textile fabrics",17
2018,2,Export,842,USA,300,Greece,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1481853
2017,2,Export,276,Germany,36,Australia,60,Fabrics; knitted or crocheted,5090916
1996,2,Export,498,Rep. of Moldova,348,Hungary,87,"Vehicles other than railway, tramway",42782
2009,1,Import,296,Kiribati,242,Fiji,31,Fertilizers,19
1990,2,Export,208,Denmark,554,New Zealand,29,Organic chemicals,56544
1989,2,Export,764,Thailand,784,United Arab Emirates,14,"Vegetable plaiting materials, vegetable products nes",61394
2007,1,Import,344,"China, Hong Kong SAR",76,Brazil,60,Knitted or crocheted fabrics,27017
2017,2,Export,246,Finland,440,Lithuania,55,Man-made staple fibres,210257
2003,1,Import,234,Faeroe Isds,222,El Salvador,94,"Furniture; bedding, mattresses, cushions and similar stuffed furnishing",599
2011,1,Import,100,Bulgaria,642,Romania,67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair,17738
2015,2,Export,56,Belgium,234,Faeroe Isds,83,Metal; miscellaneous products of base metal,69216
2017,1,Import,96,Brunei Darussalam,752,Sweden,17,Sugars and sugar confectionery,75
2017,2,Export,579,Norway,616,Poland,18,Cocoa and cocoa preparations,89090
2017,1,Import,352,Iceland,203,Czechia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",349925
2019,2,Export,446,"China, Macao SAR",410,Rep. of Korea,64,Footwear; gaiters and the like; parts of such articles,72655
1997,2,Export,58,Belgium-Luxembourg,364,Iran,59,"Impregnated, coated or laminated textile fabric",1029151
2005,1,Import,384,Côte d'Ivoire,156,China,13,"Lac; gums, resins and other vegetable saps and extracts",4022
2000,1,Import,12,Algeria,760,Syria,83,Miscellaneous articles of base metal,15425
2011,2,Export,757,Switzerland,608,Philippines,01,Live animals; animal products,8459
2014,2,Export,975,ASEAN,234,Faeroe Isds,61,Apparel and clothing accessories; knitted or crocheted,171
1996,2,Export,458,Malaysia,620,Portugal,55,manmade staple fibres,60919
1993,2,Export,458,Malaysia,704,Viet Nam,12,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",891
1992,2,Export,792,Turkey,32,Argentina,57,Carpets and other textile floor coverings,50593
2012,2,Export,222,El Salvador,84,Belize,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",126334
2006,1,Import,440,Lithuania,699,India,71,"Natural or cultured pearls, precious or semi-precious stones",236457
1994,2,Export,124,Canada,28,Antigua and Barbuda,22,"Beverages, spirits and vinegar",377087
1996,1,Import,124,Canada,699,India,19,"Cereal, flour, starch, milk preparations and products",632802
2006,1,Import,398,Kazakhstan,246,Finland,43,Fur skins and artificial fur; manufactures thereof,4100
2000,1,Import,608,Philippines,0,World,01,Live animals,67163852
1996,2,Export,788,Tunisia,400,Jordan,62,"Articles of apparel, accessories, not knit or crochet",22180
1999,2,Export,842,USA,384,Côte d'Ivoire,61,"Articles of apparel, accessories, knit or crochet",5759
2017,1,Import,84,Belize,484,Mexico,73,Iron or steel articles,5064555
1996,1,Import,562,Niger,410,Rep. of Korea,61,"Articles of apparel, accessories, knit or crochet",1047
1990,2,Export,554,New Zealand,376,Israel,92,"Musical instruments, parts and accessories",1499
2015,1,Import,251,France,740,Suriname,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",3380
2015,1,Import,604,Peru,251,France,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",3025643
2010,2,Export,792,Turkey,694,Sierra Leone,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",45045
1995,2,Export,58,Belgium-Luxembourg,533,Aruba,04,"Dairy products, eggs, honey, edible animal product nes",14302
2000,1,Import,76,Brazil,376,Israel,48,"Paper & paperboard, articles of pulp, paper and board",56498
2006,1,Import,591,Panama,188,Costa Rica,90,"Optical, photographic, cinematographic, measuring, checking, precision, med ...",860116
2005,2,Export,528,Netherlands,826,United Kingdom,35,Albuminoidal substances; modified starches; glues; enzymes,78445576
2013,2,Export,620,Portugal,203,Czechia,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",350187
1992,1,Import,711,So. African Customs Union,270,Gambia,84,"Nuclear reactors, boilers, machinery, etc",3849
2019,1,Import,716,Zimbabwe,480,Mauritius,76,Aluminium and articles thereof,19172
2006,2,Export,196,Cyprus,470,Malta,20,"Preparations of vegetables, fruit or nuts",283933
2012,2,Export,528,Netherlands,404,Kenya,18,Cocoa and cocoa preparations,2256406
2005,1,Import,724,Spain,64,Bhutan,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",180
2018,1,Import,40,Austria,233,Estonia,29,Organic chemicals,735
1990,1,Import,484,Mexico,381,Italy,86,"Railway, tramway locomotives, rolling stock, equipmen",191073
2010,1,Import,404,Kenya,894,Zambia,24,Tobacco and manufactured tobacco substitutes,23505
2006,2,Export,450,Madagascar,704,Viet Nam,55,Man-made staple fibers,298
2010,1,Import,398,Kazakhstan,417,Kyrgyzstan,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",6094778
2008,2,Export,516,Namibia,40,Austria,99,Commodities not specified according to kind,5379
2011,1,Import,688,Serbia,100,Bulgaria,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",6986168
2006,2,Export,688,Serbia,398,Kazakhstan,40,Rubber and articles thereof,42696
1989,2,Export,50,Bangladesh,152,Chile,63,"Other made textile articles, sets, worn clothing etc",13367
1993,1,Import,826,United Kingdom,800,Uganda,44,"Wood and articles of wood, wood charcoal",2639
2017,1,Import,51,Armenia,528,Netherlands,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1575
1996,2,Export,212,Dominica,0,World,34,"Soaps, lubricants, waxes, candles, modelling pastes",19948002
2002,1,Import,882,Samoa,0,World,11,"Milling products, malt, starches, inulin, wheat gluten",2245931
2004,1,Import,320,Guatemala,600,Paraguay,85,Electrical machinery and equipment and parts thereof; sound recorders and r ...,14344
2001,1,Import,384,Côte d'Ivoire,891,Serbia and Montenegro,48,"Paper & paperboard, articles of pulp, paper and board",867641
2007,1,Import,800,Uganda,764,Thailand,06,Live trees and other plants;,944
2013,2,Export,470,Malta,702,Singapore,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",188
2011,1,Import,975,ASEAN,348,Hungary,34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificialwaxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis o",96508
1996,2,Export,764,Thailand,862,Venezuela,96,Miscellaneous manufactured articles,51938
2015,2,Export,381,Italy,144,Sri Lanka,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",6593057
2014,2,Export,498,Rep. of Moldova,579,Norway,17,Sugars and sugar confectionery,165
2016,1,Import,620,Portugal,100,Bulgaria,52,Cotton,407739
2004,2,Export,76,Brazil,752,Sweden,74,Copper and articles thereof,117953
1992,2,Export,757,Switzerland,20,Andorra,39,Plastics and articles thereof,13417
1995,1,Import,20,Andorra,757,Switzerland,58,"Special woven or tufted fabric, lace, tapestry etc",11522
2004,1,Import,400,Jordan,528,Netherlands,91,Clocks and watches and parts thereof,340
2015,2,Export,620,Portugal,516,Namibia,61,Apparel and clothing accessories; knitted or crocheted,48255
2003,2,Export,440,Lithuania,0,World,14,Vegetable plaiting materials; vegetable products nes,96452
2018,1,Import,233,Estonia,60,Bermuda,22,"Beverages, spirits and vinegar",841
1998,1,Import,376,Israel,524,Nepal,90,"Optical, photo, technical, medical, etc apparatus",2000
1998,1,Import,196,Cyprus,620,Portugal,33,"Essential oils, perfumes, cosmetics, toileteries",70336
2006,2,Export,858,Uruguay,826,United Kingdom,20,"Preparations of vegetables, fruit or nuts",42496
1996,1,Import,826,United Kingdom,352,Iceland,01,Live animals,25012
1998,1,Import,440,Lithuania,579,Norway,32,"Tanning, dyeing extracts, tannins, derivs,pigments etc",507817
2005,1,Import,392,Japan,440,Lithuania,59,"Impregnated, coated, covered or laminated textile fabrics",6450
2008,2,Export,764,Thailand,92,Br. Virgin Isds,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",13
2005,1,Import,854,Burkina Faso,246,Finland,74,Copper and articles thereof,7733
1996,2,Export,124,Canada,212,Dominica,07,Edible vegetables and certain roots and tubers,26492
2000,1,Import,450,Madagascar,620,Portugal,27,"Mineral fuels, oils, distillation products, etc",213539
2003,2,Export,490,"Other Asia, nes",180,Dem. Rep. of the Congo,56,"Wadding, felt, nonwovens, yarns, twine, cordage, etc",33100
2008,1,Import,784,United Arab Emirates,826,United Kingdom,07,Edible vegetables and certain roots and tubers,5441996
2013,2,Export,231,Ethiopia,410,Rep. of Korea,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",2796
1997,1,Import,404,Kenya,826,United Kingdom,82,"Tools, implements, cutlery, etc of base metal",2960529
2015,1,Import,100,Bulgaria,428,Latvia,72,Iron and steel,311
2014,2,Export,344,"China, Hong Kong SAR",300,Greece,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",951246
2005,2,Export,643,Russian Federation,566,Nigeria,28,Inorganic chemicals,605126
2017,1,Import,620,Portugal,554,New Zealand,55,Man-made staple fibres,9575
2009,1,Import,585,Palau,360,Indonesia,83,Miscellaneous articles of base metal,1176
2003,2,Export,643,Russian Federation,554,New Zealand,85,Electrical machinery and equipment and parts thereof; sound recorders and r ...,61542
2008,1,Import,400,Jordan,458,Malaysia,03,"Fish and crustaceans, molluscs and other acquatic invertebrates",80628
2004,1,Import,270,Gambia,381,Italy,70,Glass and glassware,239
1998,2,Export,251,France,174,Comoros,10,Cereals,3057
1998,2,Export,276,Germany,524,Nepal,30,Pharmaceutical products,86000
2015,1,Import,784,United Arab Emirates,586,Pakistan,23,"Food industries, residues and wastes thereof; prepared animal fodder",478290
2000,2,Export,242,Fiji,598,Papua New Guinea,48,"Paper & paperboard, articles of pulp, paper and board",163291
2001,2,Export,818,Egypt,760,Syria,08,"Edible fruit, nuts, peel of citrus fruit, melons",31241
2012,1,Import,360,Indonesia,233,Estonia,55,Man-made staple fibres,514
2017,1,Import,76,Brazil,490,"Other Asia, nes",95,"Toys, games and sports requisites; parts and accessories thereof",11016340
2006,2,Export,716,Zimbabwe,834,United Rep. of Tanzania,97,"Works of art, collectors' pieces and antiques",1008
1995,1,Import,120,Cameroon,528,Netherlands,65,Headgear and parts thereof,3396
2017,2,Export,784,United Arab Emirates,706,Somalia,08,"Fruit and nuts, edible; peel of citrus fruit or melons",9932007
2009,1,Import,376,Israel,724,Spain,81,Other base metals; cermets; articles thereof,43000
2007,2,Export,800,Uganda,646,Rwanda,59,"Impregnated, coated, covered or laminated textile fabrics",1290
2001,1,Import,144,Sri Lanka,792,Turkey,51,"Wool, animal hair, horsehair yarn and fabric thereof",274
1998,2,Export,842,USA,818,Egypt,19,"Cereal, flour, starch, milk preparations and products",665561
1991,2,Export,152,Chile,0,World,33,"Essential oils, perfumes, cosmetics, toileteries",14552507
2004,1,Import,8,Albania,458,Malaysia,34,"Soap, organic surface-active agents",57059
2017,2,Export,352,Iceland,246,Finland,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",38097
2008,1,Import,480,Mauritius,490,"Other Asia, nes",37,Photographic or cinematographic goods,9319
2008,1,Import,300,Greece,196,Cyprus,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,320653
1992,2,Export,724,Spain,620,Portugal,93,"Arms and ammunition, parts and accessories thereof",2782743
2016,1,Import,56,Belgium,180,Dem. Rep. of the Congo,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,127
1996,2,Export,699,India,52,Barbados,33,"Essential oils, perfumes, cosmetics, toileteries",1364
2001,2,Export,724,Spain,533,Aruba,04,"Dairy products, eggs, honey, edible animal product nes",366752
1998,2,Export,699,India,31,Azerbaijan,73,Articles of iron or steel,15290
2015,1,Import,124,Canada,757,Switzerland,40,Rubber and articles thereof,3498018
2001,2,Export,208,Denmark,288,Ghana,19,"Cereal, flour, starch, milk preparations and products",160372
2001,1,Import,156,China,842,USA,46,"Manufactures of plaiting material, basketwork, etc.",46528
2017,2,Export,251,France,512,Oman,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",338845
2009,1,Import,90,Solomon Isds,540,New Caledonia,61,"Articles of apparel and clothing accessories, knitted or crocheted",504
2019,2,Export,268,Georgia,616,Poland,70,Glass and glassware,202
2016,2,Export,97,EU-28,674,San Marino,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,61
2001,2,Export,251,France,768,Togo,73,Articles of iron or steel,1496238
2012,1,Import,344,"China, Hong Kong SAR",276,Germany,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",26107312
2014,2,Export,558,Nicaragua,251,France,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6888
1997,1,Import,12,Algeria,724,Spain,96,Miscellaneous manufactured articles,447781
2010,2,Export,784,United Arab Emirates,899,"Areas, nes",36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,840
2018,1,Import,882,Samoa,842,USA,73,Iron or steel articles,405947
2012,1,Import,112,Belarus,804,Ukraine,79,Zinc and articles thereof,400
1993,1,Import,548,Vanuatu,344,"China, Hong Kong SAR",19,"Cereal, flour, starch, milk preparations and products",35904
2004,2,Export,757,Switzerland,191,Croatia,13,"Lac; gums, resins and other vegetable saps and extracts",363675
1999,1,Import,320,Guatemala,251,France,81,"Other base metals, cermets, articles thereof",725
2016,1,Import,634,Qatar,124,Canada,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",34961321
2013,1,Import,710,South Africa,458,Malaysia,65,Headgear and parts thereof,136591
2013,1,Import,454,Malawi,372,Ireland,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings",9898
1997,1,Import,340,Honduras,826,United Kingdom,70,Glass and glassware,13323
1998,1,Import,64,Bhutan,899,"Areas, nes",86,"Railway, tramway locomotives, rolling stock, equipmen",239
2008,1,Import,826,United Kingdom,0,World,44,Wood and articles of wood; wood charcoal,6195684582
2017,1,Import,788,Tunisia,699,India,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",348382
2009,1,Import,616,Poland,414,Kuwait,73,Articles of iron or steel,333970
2019,1,Import,440,Lithuania,360,Indonesia,62,Apparel and clothing accessories; not knitted or crocheted,71144
2012,1,Import,231,Ethiopia,699,India,13,"Lac; gums, resins and other vegetable saps and extracts",100086
2010,2,Export,40,Austria,372,Ireland,68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",702068
2004,1,Import,398,Kazakhstan,381,Italy,97,"Works of art, collectors' pieces and antiques",85775
1998,1,Import,156,China,381,Italy,71,"Pearls, precious stones, metals, coins, etc",4431843
2000,2,Export,422,Lebanon,124,Canada,85,"Electrical, electronic equipment",260893
2004,2,Export,251,France,266,Gabon,93,Arms and ammunition; parts and accessories thereof,133072
2012,2,Export,818,Egypt,178,Congo,20,"Preparations of vegetables, fruit, nuts or other parts of plants",32357
2003,1,Import,842,USA,352,Iceland,63,Other made up textile articles; sets; worn clothing and worn textile articl ...,143051
2007,1,Import,620,Portugal,218,Ecuador,72,Iron and steel,5276
2012,2,Export,344,"China, Hong Kong SAR",583,FS Micronesia,57,Carpets and other textile floor coverings,2169
2010,1,Import,757,Switzerland,68,Bolivia (Plurinational State of),62,"Articles of apparel and clothing accessories, not knitted or crocheted",26051
2014,1,Import,705,Slovenia,724,Spain,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",412737
2015,2,Export,124,Canada,258,French Polynesia,70,Glass and glassware,18
2007,2,Export,643,Russian Federation,40,Austria,62,"Articles of apparel and clothing accessories, not knitted or crocheted",36341362
2000,2,Export,233,Estonia,891,Serbia and Montenegro,87,"Vehicles other than railway, tramway",34222
2010,2,Export,688,Serbia,364,Iran,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",150
1993,2,Export,724,Spain,608,Philippines,41,Raw hides and skins (other than furskins) and leather,259144
2009,2,Export,404,Kenya,381,Italy,73,Articles of iron or steel,9460
2011,1,Import,218,Ecuador,504,Morocco,13,"Lac; gums, resins and other vegetable saps and extracts",334
2017,1,Import,643,Russian Federation,404,Kenya,08,"Fruit and nuts, edible; peel of citrus fruit or melons",7423355
2002,1,Import,376,Israel,276,Germany,43,Fur skins and artificial fur; manufactures thereof,3000
2004,2,Export,591,Panama,484,Mexico,73,Articles of iron or steel,8370
2011,1,Import,156,China,446,"China, Macao SAR",51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",50478
1992,1,Import,246,Finland,643,Russian Federation,53,"Vegetable textile fibres nes, paper yarn, woven fabri",88741
2017,2,Export,203,Czechia,218,Ecuador,89,"Ships, boats and floating structures",104363
2006,1,Import,608,Philippines,156,China,93,"Arms and ammunition, parts and accessories thereof",572939
1995,2,Export,58,Belgium-Luxembourg,352,Iceland,74,Copper and articles thereof,42567
1995,1,Import,400,Jordan,348,Hungary,07,Edible vegetables and certain roots and tubers,110769
2008,1,Import,410,Rep. of Korea,0,World,74,Copper and articles thereof,6288871059
2012,1,Import,97,EU-28,70,Bosnia Herzegovina,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",7315211
2000,1,Import,699,India,156,China,19,"Cereal, flour, starch, milk preparations and products",12252
2006,2,Export,528,Netherlands,156,China,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",5339452
2012,2,Export,156,China,566,Nigeria,29,Organic chemicals,110189347
2014,2,Export,643,Russian Federation,446,"China, Macao SAR",97,Works of art; collectors' pieces and antiques,6073
2007,1,Import,566,Nigeria,682,Saudi Arabia,87,Vehicles other than railway or tramway rolling stock,1761722
2018,1,Import,68,Bolivia (Plurinational State of),381,Italy,29,Organic chemicals,155239
2005,1,Import,392,Japan,528,Netherlands,08,Edible fruit and nuts; peel of citrus fruit or melons,335213
2006,2,Export,705,Slovenia,208,Denmark,27,"Mineral fuels, mineral oils and products of their distillation",27766
2000,2,Export,381,Italy,360,Indonesia,55,Manmade staple fibres,3616215
2012,1,Import,752,Sweden,124,Canada,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,189006
2012,1,Import,975,ASEAN,616,Poland,30,Pharmaceutical products,25676627
2011,2,Export,203,Czechia,705,Slovenia,89,"Ships, boats and floating structures",127295
1995,1,Import,498,Rep. of Moldova,795,Turkmenistan,12,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2129
1996,2,Export,788,Tunisia,246,Finland,64,"Footwear, gaiters and the like, parts thereof",1463160
2015,2,Export,242,Fiji,184,Cook Isds,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",82223
2013,2,Export,620,Portugal,300,Greece,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,4702
2019,1,Import,710,South Africa,616,Poland,13,"Lac; gums, resins and other vegetable saps and extracts",193
2012,1,Import,558,Nicaragua,705,Slovenia,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",45034
