pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,178,Congo,COG,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,116827,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,180,Dem. Rep. of the Congo,COD,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,823490,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,180,Dem. Rep. of the Congo,COD,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,4748313,,,0
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,180,Dem. Rep. of the Congo,COD,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,278476,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,184,Cook Isds,COK,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,51563,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,184,Cook Isds,COK,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,1051448,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,188,Costa Rica,CRI,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,198316413,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,188,Costa Rica,CRI,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,236334301,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,191,Croatia,HRV,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,8579295,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,191,Croatia,HRV,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,14304267,,,0
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,191,Croatia,HRV,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,14560,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,192,Cuba,CUB,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,7151989,,,0
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,192,Cuba,CUB,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,1031178,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,196,Cyprus,CYP,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,24810218,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,196,Cyprus,CYP,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,7123809,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,203,Czechia,CZE,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,374299734,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,203,Czechia,CZE,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,139381790,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,204,Benin,BEN,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,110400,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,204,Benin,BEN,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,3303385,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,208,Denmark,DNK,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,199304725,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,208,Denmark,DNK,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,195059564,,,0
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,208,Denmark,DNK,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,20655989,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,212,Dominica,DMA,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,1003976,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,212,Dominica,DMA,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,23688296,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,214,Dominican Rep.,DOM,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,245952885,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,214,Dominican Rep.,DOM,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,346845898,,,0
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,214,Dominican Rep.,DOM,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,41125,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,218,Ecuador,ECU,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,280981827,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,218,Ecuador,ECU,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,131729755,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,222,El Salvador,SLV,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,110890165,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,222,El Salvador,SLV,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,319189944,,,0
H5,2019,2019,2019,2,0,3,Re-Export,842,USA,USA,222,El Salvador,SLV,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,5840,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,226,Equatorial Guinea,GNQ,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,5285716,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,226,Equatorial Guinea,GNQ,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,3171538,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,231,Ethiopia,ETH,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,96803869,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,231,Ethiopia,ETH,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,25523689,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,232,Eritrea,ERI,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,24883,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,232,Eritrea,ERI,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,529175,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,233,Estonia,EST,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,23498306,,,0
H5,2019,2019,2019,2,0,2,Export,842,USA,USA,233,Estonia,EST,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,3375934,,,0
H5,2019,2019,2019,2,0,1,Import,842,USA,USA,234,Faeroe Isds,FRO,,,,,,,,99,Commodities not specified according to kind,1,No Quantity,0,,,,0,,78709,,,0
