yr,rgCode,rtCode,ptCode,cmdCode,TradeValue
2003,2,208,528,24,7800727
1997,2,36,144,90,449524
2005,1,32,251,56,328607
2019,2,410,752,34,412026
2000,1,807,246,42,252
2005,2,214,381,84,20402
2011,2,620,818,20,86379
2001,2,826,64,22,170455
1995,2,12,178,82,1507
2014,2,975,120,57,1033238
2000,1,233,842,41,1527
1998,1,204,381,35,47630
2009,1,410,490,76,22098659
2014,1,710,372,64,11451
2007,1,484,450,33,21546
2007,1,12,699,45,238
2015,1,270,490,40,225
2014,1,858,784,76,3842305
2019,1,703,392,19,1065
2012,2,458,591,39,874779
2009,3,842,702,12,119669
1994,1,780,643,09,173355
1998,1,392,643,75,48427319
2015,2,659,899,30,25
2011,1,300,531,84,21629
2013,2,699,234,84,9875
2002,1,40,300,39,5542897
